product_name,country,category,subcategory,price,brand,form,type,size,rating,noofratings
Cedarwood Jojoba & Cedar Bubble Bath,USA,body,bodywash,1307.2,Kneipp,cream,all,405,,
Beauty Secret Argan & Marula Exfoliating Sugar Body Scrub,USA,body,bodywash,1470.6,Kneipp,cream,all,231,4.5,8
Joint & Muscle Arnica Herbal Bath Oil,USA,body,bodywash,1634,Kneipp,cream,all,99,4.7,101
Relaxing Lavender Herbal Bath Oil,USA,body,bodywash,1634,Kneipp,cream,all,99,4.7,126
Refreshing Eucalyptus Herbal Bath Oil,USA,body,bodywash,1634,Kneipp,cream,all,99,4.8,104
Muscle Soothing Juniper Herbal Bath Oil,USA,body,bodywash,1634,Kneipp,cream,all,99,4.9,26
Dream Away Valerian & Hops Herbal Bath Oil,USA,body,bodywash,1634,Kneipp,cream,all,99,4.6,91
Goodbye Stress Water Mint & Rosemary Herbal Bath Oil,USA,body,bodywash,1634,Kneipp,cream,all,102,4,8
Good Night Swiss Stone Pine & Balsam Torchwood Herbal Bath Oil,USA,body,bodywash,1634,Kneipp,cream,all,102,4.5,2
Relaxing Lavender Mineral Bath Salt Soak,USA,body,bodywash,1797.4,Kneipp,cream,all,528,4.9,148
Dream Away Valerian & Hops Mineral Bath Salt Soak,USA,body,bodywash,1797.4,Kneipp,cream,all,528,4.6,198
Joint & Muscle Arnica Mineral Bath Salt Soak,USA,body,bodywash,1797.4,Kneipp,cream,all,528,4.8,214
Deep Breathe Pine & Fir Mineral Bath Salt Soak,USA,body,bodywash,1797.4,Kneipp,cream,all,528,4.8,33
Refreshing Eucalyptus Mineral Bath Salt Soak,USA,body,bodywash,1797.4,Kneipp,cream,all,528,4.8,133
Good Night Swiss Stone Pine & Balsam Torchwood Mineral Bath Salt Soak,USA,body,bodywash,1797.4,Kneipp,cream,all,528,4.7,3
"Guava Hydrating Gel Body Wash with Coconut Water, Aloe & Sea Kelp",USA,body,bodywash,1634,Kopari Beauty,cream,all,270,4.8,315
Coconut Hydrating Body Wash with Aloe and Sea Kelp,USA,body,bodywash,1634,Kopari Beauty,cream,all,270,4.8,315
KP Body Bumps Be Gone With 10% AHA,USA,body,bodywash,2124.2,Kopari Beauty,cream,all,253.5,4.8,131
Hydrating Vitamin C Shower Oil,USA,body,bodywash,2369.3,Kopari Beauty,cream,all,252,4.8,834
KP Body Bumps Be Gone Clarifying Body Pads with 4.4% AHAs & Willow Bark Extract,USA,body,bodywash,2941.2,Kopari Beauty,cream,all,10.5,4.6,25
Exfoliating Crush Scrub,USA,body,bodywash,3186.3,Kopari Beauty,cream,all,240,4.8,"1,144"
